term,coef,std_err,t,p_value,ci_low,ci_high,significance
Intercept,1.0469682653239436,0.06803253908895038,15.3892281450067,1.1123476511168229e-42,0.9132406599043859,1.1806958707435014,***
C(coder_a)[T.Brian],-0.05017012800391373,0.06725248107931908,-0.7459966859028139,0.4560877323608759,-0.18236441876091053,0.08202416275308305,
C(coder_a)[T.Bridget],0.01928702415925109,0.03303323707000966,0.5838672158703293,0.5596238304050921,-0.04564448878712412,0.0842185371056263,
C(coder_a)[T.Leah],-0.006659535373516753,0.031481026272925025,-0.2115412412474058,0.8325678085594687,-0.06853995783024971,0.055220887083216215,
C(coder_b)[T.Bridget],-0.16524324723235256,0.05681990563696094,-2.908192919012224,0.0038285583283988625,-0.27693083118481043,-0.05355566327989468,**
C(coder_b)[T.Leah],-0.14218002750333386,0.04951295966366693,-2.871571977703181,0.00429162781978241,-0.23950477271680087,-0.04485528228986686,**
C(coder_b)[T.Rachel],-0.1254068570306538,0.07235483531488186,-1.7332201294480765,0.08379224556144754,-0.26763054876343995,0.016816834702132383,
C(question)[T.Q2],0.08444146226176805,0.02703746183368406,3.123128301805623,0.00191356487045246,0.03129549599239361,0.13758742853114247,**
C(question)[T.Q3],0.08577479559510132,0.027037461833684055,3.172442595489514,0.0016229036995198585,0.032628829325726895,0.13892076186447574,**
C(question)[T.Q4],0.081416520807331,0.027037461833684058,3.011248663360106,0.002759223791882587,0.02827055453795657,0.13456248707670543,**
C(question)[T.Q5],0.08281456036190994,0.02703746183368408,3.062956163242257,0.002332983837614359,0.029668594092535472,0.1359605266312844,**
C(question)[T.Q6],-0.0185058702699043,0.027037461833684058,-0.6844529410245583,0.494067598690473,-0.07165183653927873,0.03464009599947013,
C(question)[T.Q7],-0.04637407755255147,0.030237042520899513,-1.5336843052854199,0.12586203361408554,-0.10580927349610514,0.0130611183910022,
number_coded_prior_a,-0.016501496031543224,0.009551970905888758,-1.727548816273101,0.0848060233243729,-0.03527724971334653,0.0022742576502600836,
number_coded_prior_b,0.011546431271402506,0.009200285968898336,1.2550078671940568,0.21017542937318492,-0.006538035783212494,0.029630898326017507,
is_legacy_volume,0.047179356284022186,0.03149813773730025,1.497845894176536,0.13492624331201963,-0.014734701183056774,0.10909341375110115,
