term,coef,std_err,t,p_value,ci_low,ci_high,significance
Intercept,0.7044113740799658,0.3421133682803761,2.0589998503147395,0.04014116532902396,0.03184648059376749,1.376976267566164,*
C(coder_a)[T.Brian],0.11673318879417843,0.160638767302217,0.7266813033653514,0.4678462457876109,-0.19906854664641538,0.43253492423477224,
C(coder_a)[T.Bridget],-0.0011687960308724848,0.03523520104451111,-0.03317126045047949,0.9735545620173435,-0.07043811268044854,0.06810052061870357,
C(coder_a)[T.Leah],0.002419502423159317,0.05512191079205197,0.04389366022318996,0.96501107181586,-0.10594534238532897,0.11078434723164761,
C(coder_b)[T.Bridget],-0.2364741831571374,0.0740054433311899,-3.195362023559075,0.0015073311272369128,-0.38196239766809215,-0.09098596864618264,**
C(coder_b)[T.Leah],-0.18548046643419452,0.06283217014880531,-2.9519984109242365,0.003343264038036214,-0.30900300528162467,-0.06195792758676438,**
C(coder_b)[T.Rachel],-0.21149082192955748,0.10006955616803767,-2.1134381926749057,0.03518194249876568,-0.40821879758179674,-0.01476284627731822,*
C(volume)[T.Volume 114],-0.2423065748824903,0.04881604146696286,-4.96366701602537,1.025703691925001e-06,-0.33827463334999386,-0.14633851641498674,***
C(volume)[T.Volume 119],-0.26183182950621486,0.07433222805802074,-3.5224536697842486,0.0004768957532304479,-0.40796247414522524,-0.11570118486720449,***
C(volume)[T.Volume 120],0.09939917995151898,0.16770937554636267,0.5926870792267688,0.5537254992592222,-0.23030275151038082,0.4291011114134188,
C(volume)[T.Volume 122],0.09558965614199558,0.16770937554636278,0.5699720473621946,0.5690166365397099,-0.23411227531990444,0.4252915876038956,
C(volume)[T.Volume 124],-0.05665660608035016,0.04946121411275131,-1.145475441650023,0.252697124345885,-0.15389301741572325,0.04057980525502294,
C(volume)[T.Volume 126],0.05827763190758875,0.07453261352880851,0.7819078004699668,0.4347313433012803,-0.08824695300184715,0.20480221681702465,
C(volume)[T.Volume 127],0.08945955335493122,0.10679964675932428,0.8376390378568442,0.4027336661367465,-0.12049919046177088,0.2994182971716333,
C(volume)[T.Volume 130],0.15311164688603643,0.1690676706002106,0.9056234485426553,0.36568035963339096,-0.17926057358797057,0.48548386736004345,
C(volume)[T.Volume 131],0.2480279821264213,0.1765359994501259,1.4049711271297556,0.16080597502976288,-0.09902631821693086,0.5950822824697735,
C(volume)[T.Volume 132],0.26835296652749135,0.2071941154406567,1.2951765833540356,0.19600633505075554,-0.13897250246180587,0.6756784355167886,
C(volume)[T.Volume 133],0.4153899496072483,0.3563568660767164,1.1656572081252483,0.24444766391855646,-0.2851764120075371,1.1159563112220336,
C(volume)[T.Volume 134 - Part 2],0.444768631188599,0.3731603290127159,1.191896878120297,0.2340083407647924,-0.28883186562106655,1.1783691279982644,
C(volume)[T.Volume 134 - Part I],0.30145593211927885,0.2783797579715481,1.0828945837006196,0.2795075558155839,-0.24581427018221808,0.8487261344207757,
C(volume)[T.Volume 61],0.10892988490014496,0.10369423379248421,1.0504912463902139,0.2941265521330941,-0.0949238892342214,0.31278365903451133,
C(volume)[T.Volume 62],0.04728409056413662,0.03870996743583034,1.2214965213422004,0.22261750157776927,-0.028816312223972802,0.12338449335224605,
C(volume)[T.Volume 63],0.12267988490014442,0.10369423379248356,1.1830926408661797,0.23747512184875375,-0.08117388923422067,0.3265336590345095,
C(volume)[T.Volume 91],-0.11792438522855622,0.1322798007842122,-0.8914768886061906,0.3732093128086005,-0.3779748783501733,0.14212610789306088,
C(volume)[T.Volume 93],-0.1084427340038692,0.1030643423362046,-1.052184795883331,0.2933499779491643,-0.3110581967494407,0.0941727287417023,
C(volume)[T.Volume 94],-0.16006868747132874,0.16369781686284585,-0.9778303128223281,0.32874926340469,-0.4818842462017135,0.161746871259056,
C(volume)[T.Volume 95],-0.1632172111735538,0.1942024833702945,-0.8404486304242583,0.4011589800763772,-0.5450022703170303,0.21856784796992262,
C(question)[T.Q2],0.08444146226176828,0.02425686731137273,3.481136338746358,0.0005543047368576827,0.036754587406261356,0.1321283371172752,***
C(question)[T.Q3],0.08577479559510169,0.024256867311372752,3.5361035905442937,0.00045363143686889595,0.03808792073959473,0.13346167045060864,***
C(question)[T.Q4],0.08141652080733121,0.024256867311372738,3.3564317997963156,0.000865112332316321,0.03372964595182427,0.12910339566283816,***
C(question)[T.Q5],0.08281456036191018,0.024256867311372728,3.4140665939613286,0.000705410182842567,0.03512768550640326,0.13050143521741708,***
C(question)[T.Q6],-0.018505870269904433,0.024256867311372752,-0.7629126231493222,0.4459651874222765,-0.0661927451254114,0.029181004585602528,
C(question)[T.Q7],-0.03629679224433599,0.027220261244489195,-1.3334476079535922,0.18314380775213637,-0.08980943981080788,0.017215855322135896,
number_coded_prior_a,0.008871829881881725,0.02564678583212415,0.3459236545255204,0.7295819579701343,-0.04154750294965365,0.0592911627134171,
number_coded_prior_b,0.02311982118585481,0.012780055423648632,1.809054845182685,0.07119312200359694,-0.002004647518652678,0.048244289890362294,
is_legacy_volume,0.2788938603644249,0.21627269908834865,1.2895472315277996,0.1979530327194422,-0.1462793082769111,0.7040670290057609,
