term,vif
is_alia,2304.552851312773
is_rachel,1799.0611423538944
vol_134_part_2,1239.3227575351843
is_bridget,1228.9510060447126
is_leah,1000.0185373748703
vol_133,598.5448509364928
ncp_alia,525.6411958385028
is_brian,519.1248014035078
ncp_rachel,400.1024999178787
vol_61,359.53857353471074
vol_63,359.53857353471074
ncp_bridget,301.4935752369339
ncp_leah,266.56219222083763
vol_62,257.12541296559766
vol_130,249.73023716947034
vol_132,220.42394079925813
vol_127,215.20456361562262
vol_131,186.56846308455002
vol_126,174.51909200002606
ncp_brian,153.03740611521192
vol_134_part_i,145.99787648082264
vol_124,135.4344531629636
vol_109,98.71403453826305
vol_122,79.77313716720904
vol_120,79.77313716720904
vol_114,70.01852005959739
vol_119,46.23008721250341
vol_93,27.449394664853205
vol_91,12.779578594150978
vol_94,5.246254377706063
