term,sum_sq,df,F,p_value,pct_of_model_ss,pct_of_total_ss
is_brian,0.008001265583542074,1,27.752528671841663,7.125998150333392e-06,31.95561145872854,22.77651565102866
is_leah,0.00406300428503821,1,14.092600943814867,0.0006319536812527032,16.22690622279698,11.56580539942562
is_rachel,0.0036894257017875197,1,12.79683713812688,0.0010395520860236778,14.734900748036004,10.502371326470914
is_bridget,0.0036700077183400215,1,12.72948552521648,0.0010672688171372493,14.657348824795683,10.447095820454331
is_alia,0.003512443477932625,1,12.182971220209819,0.0013235251901408578,14.02806567031508,9.998571227662
vol_94,0.001621577084953134,1,5.624468288658028,0.02334377442855467,6.476286374461339,4.616004239473608
ncp_brian,5.1992628360216506e-05,1,0.1803373346660677,0.6736827557769327,0.20764917915168618,0.14800295043579226
vol_93,3.8662022970304996e-05,1,0.13409989829631408,0.7164227678474735,0.15440914582172582,0.11005586079968056
vol_62,3.144753268151864e-05,1,0.1090763134019315,0.7431670361009433,0.12559577297038146,0.08951899081817025
vol_130,3.0340663051053398e-05,1,0.10523711686049153,0.7475640796097635,0.12117513532533589,0.08636816009036688
vol_114,2.970862703411127e-05,1,0.10304488895620817,0.7501148077095862,0.11865089748140421,0.0845689974352106
vol_63,2.8232694023575802e-05,1,0.09792558966974828,0.7561904778471675,0.11275628726864038,0.08036758567561629
vol_61,2.8232694023573403e-05,1,0.09792558966973995,0.7561904778471775,0.11275628726863081,0.08036758567560946
vol_131,2.6990237255501054e-05,1,0.09361610678613504,0.7614419964766889,0.10779413905342167,0.07683079068633493
vol_134_part_2,2.667519709401733e-05,1,0.09252338451325579,0.7627945555389396,0.10653592547593754,0.07593399291180584
vol_133,2.30424400055458e-05,1,0.07992310344484373,0.7790669087577617,0.09202734894750444,0.06559293526060758
vol_134_part_i,2.30160056955398e-05,1,0.07983141558137986,0.7791902443157999,0.09192177508160643,0.06551768698028375
vol_91,2.248621973480515e-05,1,0.07799384377330615,0.7816784243946211,0.08980590551812781,0.06400959077970417
vol_132,1.9037187982512996e-05,1,0.06603081722504771,0.7987107208952818,0.0760310948417055,0.05419152826612357
ncp_rachel,1.8898724378862985e-05,1,0.06555055381044395,0.7994277318452621,0.07547809618502845,0.05379737581577631
ncp_alia,1.6416073558084527e-05,1,0.056939436310789085,0.8127920197106652,0.06556283663163047,0.04673022691475616
vol_127,1.6017536727065606e-05,1,0.055557104389150604,0.8150349801262845,0.06397115241729451,0.04559574634109729
vol_119,1.3131733033299452e-05,1,0.04554764414610022,0.8322385459269224,0.05244577301058682,0.03738097677613507
ncp_bridget,1.2958766744982152e-05,1,0.0449477075703588,0.8333300326074595,0.05175497685500173,0.03688860849616412
vol_109,6.73003629665327e-06,1,0.023343247806895246,0.8794452769736104,0.026878550993402524,0.01915781640319653
ncp_leah,5.921772811156684e-06,1,0.020539771866565745,0.886861761698587,0.023650492428275806,0.016857002146332636
vol_120,3.0108422674557043e-06,1,0.01044315870802113,0.9191877038738259,0.012024760915352484,0.008570706135356826
vol_122,3.0108422674553583e-06,1,0.01044315870801993,0.9191877038738305,0.012024760915351103,0.008570706135355842
vol_126,2.565668837260224e-06,1,0.00889906693198326,0.9253811535176922,0.010246818536294673,0.007303469159605694
vol_124,2.4371625917838062e-06,1,0.008453340787180526,0.9272683193217215,0.009733587772037689,0.006937661465711744
