volume_file,volume_id,passes,passes_heuristic,passes_tracker,heuristic_reason,tracker_raw_status,n_agreement_sheets,fill_Leah,fill_Bridget,fill_Brian,fill_Rachel,fill_Alia
2026-04-13 First Coding Check _ Volume 80,2026-04-13 First Coding Check _ Volume 80,False,False,,no_agreement_sheet,,0,0.0,0.0,0.03833333333333333,,
2026-05-27 First Coding Check: Volume 77,2026-05-27 First Coding Check: Volume 77,False,False,,no_agreement_sheet,,0,0.0,0.0,0.0,0.0,0.0
2026-05-27 First Coding Check: Volume 78,2026-05-27 First Coding Check: Volume 78,False,False,,no_agreement_sheet,,0,0.0,0.0,0.0,0.0,0.0
2026-05-27 First Coding Check: Volume 76,2026-05-27 First Coding Check: Volume 76,False,False,,no_agreement_sheet,,0,0.0,0.0,0.0,0.0,0.0
2026-05-27 First Coding Check: Volume 75,2026-05-27 First Coding Check: Volume 75,False,False,,no_agreement_sheet,,0,0.0,0.0,0.0,0.0,0.0
2026-05-18 First Coding Check: Volume 73,2026-05-18 First Coding Check: Volume 73,False,False,,no_agreement_sheet,,0,0.0,0.0,0.0,0.0,0.0
2026-05-18 First Coding Check: Volume 74,2026-05-18 First Coding Check: Volume 74,False,False,,no_agreement_sheet,,0,0.0,0.0,0.0,0.0,0.0
2026-05-18 First Coding Check: Volume 72,2026-05-18 First Coding Check: Volume 72,False,False,,no_agreement_sheet,,0,0.0,0.0,0.0,0.0,
2026-05-15 First Coding Check: Volume 71,2026-05-15 First Coding Check: Volume 71,False,False,,no_agreement_sheet,,0,0.0,0.0,0.0,0.0,0.0
2026-04-13 First Coding Check _ Volume 82,2026-04-13 First Coding Check _ Volume 82,True,True,,ok,,1,0.16666666666666666,0.16833333333333333,0.5,0.6666666666666666,0.5016666666666667
2026-04-13 First Coding Check _ Volume 81,2026-04-13 First Coding Check _ Volume 81,True,True,,ok,,1,0.17333333333333334,0.16666666666666666,0.6666666666666666,1.0,
2026-03-23 First Coding Check _ Volume 95,2026-03-23 First Coding Check _ Volume 95,True,True,,ok,,3,0.16666666666666666,0.16833333333333333,0.6666666666666666,0.5,0.5016666666666667
2025-12-05 First Coding Check : Volume 124,2025-12-05 First Coding Check : Volume 124,True,True,,ok,,6,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.5,0.5016666666666667
2025-10-05 First Coding Check: Volume 132,2025-10-05 First Coding Check: Volume 132,True,True,,ok,,5,0.3333333333333333,0.3333333333333333,,0.6666666666666666,0.6666666666666666
2026-03-20 First Coding Check _ Volume 94,2026-03-20 First Coding Check _ Volume 94,True,True,,ok,,4,0.16666666666666666,0.16666666666666666,0.5,0.6666666666666666,0.5
